id,nombre,duracion,precio,presion,descripcion,horarios,destacado,activo
desbloqueo-cervical,Desbloqueo cervical,80 min,CLP 54.000,Media a firme,Trabajo profundo en cuello y mandíbula,10:30|15:00|18:30,si,si
drenaje-linfatico,Drenaje linfático,50 min,CLP 42.000,Suave,Maniobras suaves para piernas pesadas,10:00|13:00|17:00,no,si
